,crp_id,direct_amount,direct_count,employee_amount,employee_count,id,name,total_amount,total_count
3,N00000469,0,0,57650.00,148,4536032e5d1d47248a5eddb86ce1a7f1,Moveon.org,57650.00,148
4,N00000469,0,0,56648.00,80,dca1ab34f315427aa001ffe34afec212,ActBlue,56648.00,80
5,N00000469,52500.00,22,0,0,fb702029157e4c7c887172eba71c66c5,American Fedn of St/Cnty/Munic Employees,52500.00,22
6,N00000469,50000.00,25,0,0,6f6d63baaa6c4f5c9c739596e65b020e,Laborers Union,50000.00,25
7,N00000469,48500.00,18,250.00,1,d3db6dd51bef4b758300d6ea611f71ae,Assn of Trial Lawyers of America,48750.00,19
8,N00000469,41000.00,34,2700.00,8,4438cca4c4ae4715b1bf348629b68cc0,General Dynamics,43700.00,42
9,N00000469,0,0,42400.00,74,f592765473754a7390da91867e255a03,"Drummond, Woodsum & Macmahon",42400.00,74
0,N00009677,5000.00,1,133687.00,220,40ebb1825b7e435b9dcde5c90f715553,Senate Conservatives Fund,138687.00,221
1,N00009677,0,0,90100.00,63,94e1431f57f34f79a417ff1eded8e077,Washington University In St Louis,90100.00,63
2,N00009677,60000.00,30,25950.00,47,93d723231bec403c9b88d4a0c5260959,Boeing Co,85950.00,77
3,N00009677,0,0,64150.00,44,3de43548ec8d44ccbda43d8b7b7db726,Crawford Group,64150.00,44
4,N00009677,29000.00,19,32200.00,30,5b1647280694445fa2ec81219ff9ce11,Emerson,61200.00,49
5,N00009677,52500.00,25,3000.00,3,5472e4afd07d48468f3638239ef00c24,Anheuser-Busch,55500.00,28
6,N00009677,22000.00,8,31500.00,35,e48f2cc986b44437a73920ce3d4b7b6f,Edward Jones,53500.00,43
7,N00009677,51700.00,29,0,0,cc28b8a08cb84a21ab5c746ceb4a9d8c,ENTERPRISE RENT-A-CAR,51700.00,29
8,N00009677,4000.00,2,45200.00,22,f7b0baea213f4a2382facbf3250b8e20,Hunter Engineering,49200.00,24
9,N00009677,44000.00,24,0,0,0bf8159bdec44c6d979ed529576a7c78,American Society of Anesthesiologists,44000.00,24
0,N00009888,0,0,133750.00,206,,JC Bradford & Co,133750.00,206
1,N00009888,6000.00,2,125600.00,184,70e24d2bbe894d87bbe8a28e23f048eb,Merrill Lynch,131600.00,186
2,N00009888,15000.00,11,104197.00,136,65806f47574c4862a2acd4fb660846a3,"Baker, Donelson et al",119197.00,147
3,N00009888,0,0,116650.00,178,0fe11b50bf0f403b9b82d76cc1f52e2a,State of Tennessee,116650.00,178
4,N00009888,0,0,98820.00,108,d666eb2820f843d0b810462d8e6bd31f,Pilot Corp,98820.00,108
5,N00009888,35000.00,7,59750.00,59,1d6511301c064826bca9ca5ed4d4b3d5,National HealthCare Corp,94750.00,66
6,N00009888,0,0,89588.00,122,58c081e4b3504bc7a7ba64da46195887,Vanderbilt University,89588.00,122
7,N00009888,40000.00,12,39200.00,84,d69f8bd8c4654cd0925e773ab8fc25b3,International Paper,79200.00,96
8,N00009888,19000.00,11,52450.00,55,46a43aff0a6743c59fbebd588e8ee743,Corrections Corp of America,71450.00,66
9,N00009888,28000.00,6,37600.00,33,dd9e651645df430db5d3bf0e2ff76cca,Gaylord Entertainment,65600.00,39
0,N00025464,39123.00,25,20450.00,34,243f0b06727949259a900c72bb8bd0d1,Adams & Reese,59573.00,59
1,N00025464,0,0,59000.00,87,4326614fea87489eaa1602e6b9c6c69f,Livingston Group,59000.00,87
2,N00025464,57500.00,13,0,0,597f647e3b7540f3a0d02d6940c3a7de,Carpenters & Joiners Union,57500.00,13
3,N00025464,52000.00,22,0,0,bb98402bd4d3471cad392a671ecd733a,National Assn of Realtors,52000.00,22
4,N00025464,0,0,51800.00,30,ddbbb76fdff4435ea9554d56ad722bb0,D&J Construction,51800.00,30
5,N00025464,47500.00,17,250.00,1,4703da042a7047eba2bdf4850105d6d6,National Beer Wholesalers Assn,47750.00,18
6,N00025464,0,0,45950.00,34,05c57f667ef64da7a5af910def50dc6d,Central Management,45950.00,34
7,N00025464,42500.00,19,0,0,076a3ff56eed4904b25d6781ed99c917,Operating Engineers Union,42500.00,19
8,N00025464,37000.00,26,1000.00,1,5202316fe79343a09a31e8c6c31ebe3d,American Bankers Assn,38000.00,27
9,N00025464,38000.00,15,0,0,8c257301b8274da3ae6d3df1554f5c7d,National Assn of Home Builders,38000.00,15
0,N00027664,0,0,70260.00,161,c7c45739648e4d53a3decae1dd1c74d8,UPMC Health System,70260.00,161
1,N00027664,0,0,67200.00,40,29a0f71efd8f4186b6b8fba3008f41c6,Ibis Tek,67200.00,40
2,N00027664,38500.00,8,7001.00,14,22c6a2db10bf4890885352f7d2546a6f,New Democrat Coalition,45501.00,22
3,N00027664,32000.00,25,13000.00,14,06d2d0dcdbda47e0bf2f37b835f6aed0,Comcast Corp,45000.00,39
4,N00027664,0,0,39200.00,46,71f418f2fc9143349e9e7c4b66fd5635,Jennmar Corp,39200.00,46
5,N00027664,38000.00,16,500.00,1,1bba6ae7847d4d849b1f5cdb3ad75b01,Ironworkers Union,38500.00,17
6,N00027664,29875.00,19,5500.00,15,6cc1ce3fb2d64e77ad6db9057e4fe0c9,American Hospital Assn,35375.00,34
7,N00027664,35000.00,7,0,0,c869c8e293614e10960b2e77f5eabecd,Plumbers/Pipefitters Union,35000.00,7
8,N00027664,35000.00,12,0,0,40bdcd67dd2348a0af8699edaf772571,American College of Radiology,35000.00,12
9,N00027664,0,0,34525.00,39,688a1a3e41844ff59b1622697d4f0d6c,Castlebrook Development,34525.00,39
0,N00027890,0,0,282502.00,209,52a8f5ae450f4507ab79f705c832a41f,Democratic Congressional Campaign Cmte,282502.00,209
1,N00027890,0,0,40315.00,51,dca1ab34f315427aa001ffe34afec212,ActBlue,40315.00,51
2,N00027890,0,0,33250.00,23,,Northern Safety,33250.00,23
3,N00027890,30000.00,8,2650.00,7,82b6cbef5c8a447ea2c4b2fffba57d0e,United Food & Commercial Workers Union,32650.00,15
4,N00027890,30000.00,10,2550.00,7,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,32550.00,17
5,N00027890,30000.00,6,1000.00,1,0d4eebd7aefc499397ca188acf571499,AmeriPAC: The Fund for a Greater America,31000.00,7
6,N00027890,30000.00,7,250.00,1,73a89c3b554945cd8228fa82fc53b73a,American Federation of Teachers,30250.00,8
7,N00027890,30000.00,12,0,0,0e4bbc918bea4ae2a01b1a0433cd59f7,American Assn for Justice,30000.00,12
8,N00027890,30000.00,6,0,0,7bbe1938680a411db1f29da2c0d1d714,PAC to the Future,30000.00,6
9,N00027890,30000.00,9,0,0,b91d64c85b1b43faa13b7abff81b7bc4,United Transportation Union,30000.00,9
10,N00027890,30000.00,19,0,0,e08e4fb19d6e45358bd544c674ba573f,National Air Traffic Controllers Assn,30000.00,19
0,N00000812,0,0,96722.00,93,dca1ab34f315427aa001ffe34afec212,ActBlue,96722.00,93
1,N00000812,15000.00,9,17950.00,22,06d2d0dcdbda47e0bf2f37b835f6aed0,Comcast Corp,32950.00,31
2,N00000812,20000.00,8,9050.00,9,2d625ce311ff4aa091ae66f440c2a62f,Honeywell International,29050.00,17
3,N00000812,19311.00,7,9150.00,17,6b85c0b3612a4669bec41a6d62dafa20,Cozen & O'Connor,28461.00,24
4,N00000812,26000.00,7,0,0,6f6d63baaa6c4f5c9c739596e65b020e,Laborers Union,26000.00,7
5,N00000812,5000.00,1,20500.00,44,e92050820ad0475db2b63b4e90a808c9,Caesars Entertainment,25500.00,45
6,N00000812,25000.00,6,0,0,0d4eebd7aefc499397ca188acf571499,AmeriPAC: The Fund for a Greater America,25000.00,6
7,N00000812,16500.00,8,7700.00,11,1a03c5e4fe924a16b6ca7ce7f57add19,AMERIGROUP Corp,24200.00,19
8,N00000812,0,0,23600.00,31,a15fc2e161bf48db89ba90c5f888b4e0,Wolff & Samson,23600.00,31
9,N00000812,23000.00,6,0,0,597f647e3b7540f3a0d02d6940c3a7de,Carpenters & Joiners Union,23000.00,6
0,N00029412,0,0,51550.00,27,b571b18056434b878a7de8a57fd1d8d3,Greentree Group,51550.00,27
1,N00029412,15000.00,11,21950.00,26,1b551ba1555546158f114e9f7edb7645,American Electric Power,36950.00,37
2,N00029412,0,0,33300.00,17,,Sugar Creek Packing,33300.00,17
3,N00029412,0,0,28334.00,29,,Peerless Technologies,28334.00,29
4,N00029412,0,0,25500.00,23,73848ec6a27549698e20704018f39692,SelectTech Services,25500.00,23
5,N00029412,13500.00,5,8550.00,6,14bbabc95d6c49a6aa23cb8032e11e96,Limited Brands,22050.00,11
6,N00029412,21000.00,8,0,0,c341485a7b4f46d9bf91b4ab940aca1d,National Electrical Contractors Assn,21000.00,8
7,N00029412,12000.00,9,8860.00,12,d1e0f5b2e4194ec1818307ee5ac47929,SAIC Inc,20860.00,21
8,N00029412,20000.00,5,0,0,e2d995f524df4285ae25f40134da38aa,Every Republican is Crucial PAC,20000.00,5
9,N00029412,20000.00,5,0,0,4703da042a7047eba2bdf4850105d6d6,National Beer Wholesalers Assn,20000.00,5
0,N00030926,20000.00,4,2400.00,1,8ed225eea57b4731b00f74ec714b9aa8,Publix Super Markets,22400.00,5
1,N00030926,20000.00,4,0,0,e2d995f524df4285ae25f40134da38aa,Every Republican is Crucial PAC,20000.00,4
2,N00030926,12000.00,3,6800.00,5,e120d90ceb6a43ecbf07c38b6d05575f,Wayne Densch Inc,18800.00,8
3,N00030926,15000.00,5,0,0,ae22b08efe0941d5921114eeb4465ffc,Freedom Project,15000.00,5
4,N00030926,12000.00,5,1900.00,3,edef9d4cf48346cbb64d7414e3cccde3,Darden Restaurants,13900.00,8
5,N00030926,13000.00,5,0,0,56c770dbbdcc4625b874b338dd37a993,PricewaterhouseCoopers,13000.00,5
6,N00030926,12000.00,3,0,0,77dbabd22ba548c68156607d089f37fe,GOP Generation Y Fund,12000.00,3
7,N00030926,0,0,11900.00,6,2a05fb021cc44c09b792a31196ec8658,International Speedway,11900.00,6
8,N00030926,11000.00,8,0,0,5202316fe79343a09a31e8c6c31ebe3d,American Bankers Assn,11000.00,8
9,N00030926,10998.00,9,0,0,74e8e0d613494951ac681b344803f948,"Gray, Harris & Robinson",10998.00,9
0,N00031938,0,0,274580.00,270,b12bdd0c8a49415d829732bd9cc8691b,Club for Growth,274580.00,270
1,N00031938,0,0,92750.00,50,,Michigan Industrial Tools,92750.00,50
2,N00031938,6000.00,2,82450.00,42,5d4df3bb8b9e4ee6986ad4e17eee302b,Amway/Alticor Inc,88450.00,44
3,N00031938,0,0,57750.00,41,,S Abraham & Sons,57750.00,41
4,N00031938,0,0,55800.00,29,3ffc632678394cffa880e99ca219cc9f,WINDQUEST GROUP,55800.00,29
5,N00031938,0,0,32900.00,13,79eaa4996bca42528ea6516269102232,Wolverine Gas & Oil,32900.00,13
6,N00031938,0,0,30000.00,14,9afbfedebd1547eeb5e1f1503dd78f0d,Autocam Corp,30000.00,14
7,N00031938,0,0,25850.00,33,,Anesthesia Medical Consultants,25850.00,33
8,N00031938,0,0,25300.00,15,,Betz Industries,25300.00,15
9,N00031938,0,0,25200.00,11,,Wynalda Litho,25200.00,11
0,N00030980,0,0,92442.00,41,f8c8e395f18a4a449ea0a19b279762e5,Elliott Management,92442.00,41
1,N00030980,5000.00,1,85298.00,80,1aa6c659d644411a92f2cf74f127a17e,NorPAC,90298.00,81
2,N00030980,4000.00,2,35100.00,42,8c007e162ca1450cbe7f976732a9a770,FMR Corp,39100.00,44
3,N00030980,20000.00,5,13247.00,14,8cc7b9708fe643d6b58846f4d3f7dc89,USAA,33247.00,19
4,N00030980,12500.00,7,17483.00,25,c4d217fc857c4430aa4b776dd063b3ab,Verizon Communications,29983.00,32
5,N00030980,0,0,29700.00,19,bb785b7d29c0422090c8cca2f8907a76,Insight Technology,29700.00,19
6,N00030980,0,0,28900.00,14,efa900174a13470c90e2980f920ad6ae,SAC Capital Advisors,28900.00,14
7,N00030980,10000.00,3,18142.00,13,597eccfe48784677a437569ff6293097,Goldman Sachs,28142.00,16
8,N00030980,15000.00,3,12200.00,15,313a4f558e1c47adb01f264a18cec7bd,Aetna Inc,27200.00,18
9,N00030980,0,0,24650.00,13,71c49bc56b3a4d369e727fd22744876a,Blackstone Group,24650.00,13
0,N00031177,28000.00,21,1000.00,1,467384f914cc49389de02598b817c754,National Mining Assn,29000.00,22
1,N00031177,25000.00,5,0,0,e2d995f524df4285ae25f40134da38aa,Every Republican is Crucial PAC,25000.00,5
2,N00031177,0,0,24400.00,20,,Hartman & Hartman,24400.00,20
3,N00031177,20000.00,7,3500.00,3,3039b09d9a9b48aa8f6b29873dd7e1e9,International Game Technology,23500.00,10
4,N00031177,18500.00,8,4500.00,9,60d05f5ede634d10b55d5b2ad7bad3dd,NV Energy,23000.00,17
5,N00031177,22500.00,8,0,0,59ba4fe51c4141f996e0790c142a003a,Barrick Goldstrike Mines,22500.00,8
6,N00031177,22500.00,9,0,0,8c257301b8274da3ae6d3df1554f5c7d,National Assn of Home Builders,22500.00,9
7,N00031177,21000.00,10,0,0,d473e580c5684a658b754eb97566cb05,AT&T Inc,21000.00,10
8,N00031177,20000.00,7,0,0,0bf8159bdec44c6d979ed529576a7c78,American Society of Anesthesiologists,20000.00,7
9,N00031177,20000.00,11,0,0,5202316fe79343a09a31e8c6c31ebe3d,American Bankers Assn,20000.00,11
10,N00031177,20000.00,4,0,0,ae22b08efe0941d5921114eeb4465ffc,Freedom Project,20000.00,4
11,N00031177,20000.00,4,0,0,84c4c8704ef24193a4670c8a3aacb6bd,National Auto Dealers Assn,20000.00,4
0,N00035451,17001.00,9,29868.00,79,5e263a32710c45c5a83b3ba5ee2950c6,EMILY's List,46869.00,88
1,N00035451,20000.00,4,0,0,0bf8159bdec44c6d979ed529576a7c78,American Society of Anesthesiologists,20000.00,4
2,N00035451,15000.00,3,0,0,1b8fea7e453d4e75841eac48ff9df550,National Education Assn,15000.00,3
3,N00035451,10000.00,4,0,0,,Off The Sidelines,10000.00,4
4,N00035451,10000.00,2,0,0,92efc1b79891416a816a433afc908dc3,American Academy of Ophthalmology,10000.00,2
5,N00035451,10000.00,2,0,0,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,10000.00,2
6,N00035451,7500.00,2,0,0,4d3167b97c9f48deb433aad57bb0ee44,United Auto Workers,7500.00,2
7,N00035451,7500.00,2,0,0,27a91bf5addc45d4b5646f92570deb89,American Medical Assn,7500.00,2
8,N00035451,6500.00,2,0,0,d1bc3415511445038cd565ab0fcc3e8c,National Rural Electric Cooperative Assn,6500.00,2
9,N00035451,5000.00,1,1000.00,1,1df6bba1eacb429d914630b767426d88,American Postal Workers Union,6000.00,2
10,N00035451,6000.00,2,0,0,3e773ca970714f0e8dca350dbce74f14,American Optometric Assn,6000.00,2
0,N00033997,3500.00,2,47905.00,66,3f316295b1bc436f813923d592a67932,JStreetPAC,51405.00,68
1,N00033997,9082.00,7,21370.00,22,e96b99aef8334f50bacd5bd80c6d5d71,League of Conservation Voters,30452.00,29
2,N00033997,0,0,21200.00,13,093fb3a197be410c84d4132baf5bd99b,Matich Corp,21200.00,13
3,N00033997,20000.00,4,250.00,1,1b8fea7e453d4e75841eac48ff9df550,National Education Assn,20250.00,5
4,N00033997,10000.00,2,7750.00,17,e47a4574d17542198f9ce317533ce0b8,Credit Union National Assn,17750.00,19
5,N00033997,0,0,17300.00,7,41427e589d504277b8bc37b09a11e11d,CORDOBA CORP,17300.00,7
6,N00033997,15000.00,3,1500.00,2,0d4eebd7aefc499397ca188acf571499,AmeriPAC: The Fund for a Greater America,16500.00,5
7,N00033997,0,0,16500.00,13,95ec1450160540e0ae2087c24cfdda11,San Manuel Band of Mission Indians,16500.00,13
8,N00033997,15000.00,3,500.00,2,b53b4ad137d743a996f4d7467700fc88,Intl Brotherhood of Electrical Workers,15500.00,5
9,N00033997,0,0,15400.00,10,,New World Medical,15400.00,10
0,N00033720,0,0,34850.00,26,,RW Allen LLC,34850.00,26
1,N00033720,0,0,18700.00,12,,Greenway Medical Technologies,18700.00,12
2,N00033720,0,0,15300.00,7,,"Wareing, Athon & Co",15300.00,7
3,N00033720,0,0,13700.00,6,,Mau Inc,13700.00,6
4,N00033720,12500.00,4,250.00,1,7f5b013547344bbd816e95da08403ca7,Associated General Contractors,12750.00,5
5,N00033720,0,0,12300.00,5,f3dbe00e460140b386555c27b5074861,Georgia Crown Distributing,12300.00,5
6,N00033720,0,0,11200.00,5,,Nephrology Assoc,11200.00,5
7,N00033720,0,0,10850.00,7,644f4bb25e3747729dff8f59e7feccfa,Morris Communications,10850.00,7
8,N00033720,0,0,10400.00,9,,Kuhlke Properties,10400.00,9
9,N00033720,0,0,10200.00,4,3dd22540fb8f4709893e1b333c2a061f,Energy Transfer Equity,10200.00,4
10,N00033720,0,0,10200.00,10,,Blanchard & Calhoun Commercial,10200.00,10
0,N00005293,0,0,15000.00,6,,Herman Trust,15000.00,6
1,N00005293,0,0,13900.00,20,00f0b708759a4666bd351606938c004d,University of Nebraska Medical Center,13900.00,20
2,N00005293,0,0,11854.00,26,648d2f67950743c8a13f123a7b72ee3c,University of Nebraska,11854.00,26
3,N00005293,10000.00,2,1000.00,1,0d4eebd7aefc499397ca188acf571499,AmeriPAC: The Fund for a Greater America,11000.00,3
4,N00005293,10000.00,2,0,0,c869c8e293614e10960b2e77f5eabecd,Plumbers/Pipefitters Union,10000.00,2
5,N00005293,0,0,9550.00,23,,First National Bank of Nebraska,9550.00,23
6,N00005293,5000.00,3,4250.00,11,26cf235af6ad45b7b5e38014e257baf4,Kutak Rock LLC,9250.00,14
7,N00005293,0,0,8550.00,6,ca623639b88c44d28ecfdbcaaaf3ae1d,Lozier Corp,8550.00,6
8,N00005293,0,0,7700.00,3,dfb4bb50d5ea48dc8a24915ea1e67a10,Pinnacle Bank,7700.00,3
9,N00005293,0,0,7700.00,3,c426353c4aa9499dbfcf96c2a92e7401,Omaha Steaks,7700.00,3
0,N00036633,0,0,10609.00,8,,Affinity Health Group,10609.00,8
1,N00036633,0,0,5200.00,2,,Hospital Administrator,5200.00,2
2,N00036633,0,0,5200.00,2,,Lincoln Builders,5200.00,2
3,N00036633,0,0,5200.00,2,,Administration,5200.00,2
4,N00036633,0,0,5200.00,2,,Nela Radiology Assoc,5200.00,2
5,N00036633,0,0,5200.00,2,,"COLEMAN, WYCHE DR JR",5200.00,2
6,N00036633,0,0,5200.00,2,,Northeast Louisiana Radiology,5200.00,2
7,N00036633,0,0,5200.00,2,,Physician Assistant,5200.00,2
8,N00036633,0,0,5200.00,3,,Precision Paper & Board,5200.00,3
9,N00036633,0,0,5200.00,2,,Willis-Knighton Health System,5200.00,2
0,N00008091,62500.00,27,69600.00,49,3ac91c16ba4b4105a744875d97fc305e,Drummond Co,132100.00,76
1,N00008091,89500.00,49,13710.00,15,bb98402bd4d3471cad392a671ecd733a,National Assn of Realtors,103210.00,64
2,N00008091,67000.00,27,26000.00,19,bc1d056e59334c07bb0761b97efa64e4,JPMorgan Chase & Co,93000.00,46
3,N00008091,34000.00,10,53624.00,96,8e4ad25777474e3bb0124a5034a134ce,Balch & Bingham,87624.00,106
4,N00008091,65500.00,27,21150.00,33,86c22448ee7348d0b1b6028193860020,Vulcan Materials,86650.00,60
5,N00008091,86000.00,44,0,0,5202316fe79343a09a31e8c6c31ebe3d,American Bankers Assn,86000.00,44
6,N00008091,77000.00,26,8250.00,7,772c676d5a1a406396798612bd2059db,Regions Financial,85250.00,33
7,N00008091,52500.00,26,27450.00,24,4e6bc9a6b7dc40d7b9b00d58c0e359db,Citigroup Inc,79950.00,50
8,N00008091,76060.00,35,0,0,e13e2512f89e4fff8cddd0f97b873ceb,American Institute of CPAs,76060.00,35
9,N00008091,20500.00,15,54750.00,86,3aa2355319dc4d1694ba12c8fcb97a04,HealthSouth Corp,75250.00,101
0,N00005407,85000.00,28,3200.00,8,5202316fe79343a09a31e8c6c31ebe3d,American Bankers Assn,88200.00,36
1,N00005407,35500.00,16,42241.00,76,,Hibernia Corp,77741.00,92
2,N00005407,37500.00,16,39600.00,21,bc1d056e59334c07bb0761b97efa64e4,JPMorgan Chase & Co,77100.00,37
3,N00005407,0,0,60973.00,64,299af6afaaaa4332bc151f168470dfff,US House of Representatives,60973.00,64
