,0,1,2
199,Labour Party,Ministry Of Justice,19
200,Cabinet Office,Labour Party,19
201,Advertising Department,Labour Party,19
202,European Union,Facebook,19
203,Green Party,United States,18
204,New York Times,Twitter,18
205,Association Ltd,European Scrutiny Committee,18
206,Democratic Party,Labour Party,18
207,Facebook,United States,18
208,Nasdaq,News Network,17
209,National Executive Committee,Parliamentary Labour Party,17
210,Shadow Health,Shadow International Development,17
211,Twitter,White House,17
212,News Network,Yahoo,17
213,Arriva,Labour Party,17
214,Campaign Group,Labour Party,17
215,New York Times,White House,17
216,Twitter,United Kingdom Parliament,17
217,Ipcc,National Union Of Mineworkers,17
218,Confederation Of British Industry,European Union,17
219,Nasdaq,Yahoo,17
220,Britain Labour Party,British Labour Party,17
221,Twitter,Young,16
222,Google,Labour Party,16
223,European Commission,United Kingdom Parliament,16
224,Department For Education,Facebook,16
225,European Union,Smith Commission,16
226,Smith Commission,United States,16
227,Arriva,British Labour Party,16
228,Green Party,Parliament Square,16
229,European Union,United Kingdom Parliament,16
230,British Labour Party,Scottish National Party,16
231,Reuters,Twitter,16
232,Department For Education,Labour Party,16
233,Oxford University,Parliamentary Labour Party,16
234,Labour Party,Network Rail,16
235,Oxford University,Twitter,16
236,Arriva,Scottish National Party,15
237,Google,Youtube,15
238,Cabinet Office,Facebook,15
239,National Living Wage,Office For Budget Responsibility,15
240,Members Of Parliament,Parliamentary Standards Authority,15
241,Parliament Square,Young,15
242,Supreme Court,United States,15
243,National Health Service,United Kingdom Independence Party,15
244,Cabinet Office,Department For Education,15
245,National Living Wage,Twitter,15
246,Labour Party,Shell,15
247,Arriva,Britain Labour Party,15
248,European Commission,Labour Party,15
249,European Union,White House,15
250,Labour Party,Royal Mail,15
251,National Health Service,United States,15
252,Facebook,Ministry Of Justice,15
253,Scottish National Party,United States,15
254,European Convention On Human Rights,European Court,15
255,Labour Party,Watford Grammar School For Girls,15
256,British Labour Party,Reuters,15
257,Association Ltd,Campaign Group,15
258,Department For Education,Ministry Of Justice,15
259,European Parliament,European Union,15
260,It To Be Run A Office,Party A Social Democrats,14
261,Michael A Office,United Kingdom Party,14
262,A European Council Donald Tusk,Parliament A Country,14
263,European Commission,Health Andy,14
264,A European Council Donald Tusk,United Kingdom Parliament,14
265,Labour Party,Standards Organisation Editor Code Of Practice,14
266,European Union,Health Andy,14
267,Facebook,Green Party,14
268,It To Be Run A Office,Parliament A Country,14
269,Twitter,United Kingdom Party,14
270,A European Council Donald Tusk,It To Be Run A Office,14
271,European Union,Parliament A Country,14
272,A European Council Donald Tusk,European Commission,14
273,Michael A Office,Twitter,14
274,It To Be Run A Office,United Kingdom Parliament,14
275,Health Andy,United Kingdom Party,14
276,European Union,United Kingdom Party,14
277,Reuters,United States,14
278,Ministry Of Justice,Territorial Army,14
279,Michael A Office,Party A Social Democrats,14
280,Parliament A Country,United Kingdom Party,14
281,Michael A Office,Parliament A Country,14
282,Department For Business,Migration Advisory Committee,14
283,Cabinet Office,Ministry Of Justice,14
284,European Commission,Parliament A Country,14
285,Health Andy,Twitter,14
286,United Kingdom Parliament,United Kingdom Party,14
287,Labour Party,Shadow International Development,14
288,Charlotte Church,Parliament Of Westminster,14
289,Party A Social Democrats,United Kingdom Party,14
290,A European Council Donald Tusk,United Kingdom Party,14
291,European Commission,United Kingdom Party,14
292,Facebook,People Assembly,14
293,Institute Of Economic Affairs,Labour Party,14
294,A European Council Donald Tusk,Michael A Office,14
295,Shell,Territorial Army,14
296,European Union,Michael A Office,14
297,Michael A Office,United Kingdom Parliament,14
298,Office For Budget Responsibility,Twitter,14
299,Department For,Department For Education,14
300,Party A Social Democrats,Twitter,14
301,European Union,Party A Social Democrats,14
302,Health Andy,It To Be Run A Office,14
303,Health Andy,Party A Social Democrats,14
304,Department For,Labour Party,14
305,Department For,Facebook,14
306,A European Council Donald Tusk,Party A Social Democrats,14
307,National Health Service,Twitter,14
308,Parliament A Country,Twitter,14
309,Parliament A Country,United Kingdom Parliament,14
310,European Commission,Party A Social Democrats,14
311,A European Council Donald Tusk,European Union,14
312,Department For,Ministry Of Justice,14
313,It To Be Run A Office,United Kingdom Party,14
314,A European Council Donald Tusk,Twitter,14
315,Green Mps In Parliament,Labour Party,14
316,European Commission,Michael A Office,14
317,Health Andy,Michael A Office,14
318,Parliament A Country,Party A Social Democrats,14
319,Health Andy,Parliament A Country,14
320,European Union,It To Be Run A Office,14
321,It To Be Run A Office,Twitter,14
322,Facebook,Shell,14
323,Party A Social Democrats,United Kingdom Parliament,14
324,A European Council Donald Tusk,Health Andy,14
325,Cabinet Office,Department For,14
326,European Commission,It To Be Run A Office,14
327,United States,Us Congress,14
328,European Council,European Union,14
329,Cnn,European Union,14
330,It To Be Run A Office,Michael A Office,14
331,Health Andy,United Kingdom Parliament,14
332,Culture Committee,Ministry Of Justice,13
333,John Penrose To Cabinet Office,Labour Party,13
334,Davis Commission,Shell,13
335,Defence Committee,Institute Of Economic Affairs,13
336,Defence Committee,Department For Education,13
337,Davis Commission,Territorial Army,13
338,Facebook,Google,13
339,John Penrose To Cabinet Office,Ministry Of Justice,13
340,Cabinet Office,Institute Of Economic Affairs,13
341,Cabinet Office,Shell,13
342,Ben Gummer To Health,Davis Commission,13
343,Department Of The Environment,Ministry Of Justice,13
344,Labour Party,Supreme Court,13
345,Institute Of Economic Affairs,Ministry Of Justice,13
346,Department For Education,Shell,13
347,Davis Commission,Defence Committee,13
348,Commons Culture Committee,Facebook,13
349,European Central Bank,International Monetary Fund,13
350,Labour Party,National Executive Council,13
351,Department Of The Environment,John Penrose To Cabinet Office,13
352,Commons Culture Committee,Ministry Of Justice,13
353,Ben Gummer To Health,Culture Committee,13
354,United States,Youtube,13
355,Cabinet Office,Culture Committee,13
356,Foreign Office,United States,13
357,Ben Gummer To Health,Institute Of Economic Affairs,13
358,Davis Commission,Department For,13
359,Defence Committee,Labour Party,13
360,John Penrose To Cabinet Office,Shell,13
361,Ben Gummer To Health,Labour Party,13
362,Davis Commission,Department Of The Environment,13
363,Department For Education,Territorial Army,13
364,Commons Culture Committee,Defence Committee,13
365,Ben Gummer To Health,Facebook,13
366,Culture Committee,Department For Education,13
367,Department Of The Environment,Labour Party,13
368,Cabinet Office,Commons Culture Committee,13
369,Department Of The Environment,Facebook,13
370,Defence Committee,Shell,13
371,Department Of The Environment,Institute Of Economic Affairs,13
372,Ben Gummer To Health,John Penrose To Cabinet Office,13
373,Ben Gummer To Health,Cabinet Office,13
374,Culture Committee,Institute Of Economic Affairs,13
375,Labour Party,National Shop Stewards Network,13
376,Department For Education,Institute Of Economic Affairs,13
377,Facebook,John Penrose To Cabinet Office,13
378,Bloomberg,Labour Party,13
379,Defence Committee,Facebook,13
380,British Medical Association,National Insurance,13
381,Labour Party,Territorial Army,13
382,Ben Gummer To Health,Shell,13
383,Institute Of Economic Affairs,Territorial Army,13
384,Facebook,Territorial Army,13
385,Britain Labour Party,Reuters,13
386,Department For Education,Department Of The Environment,13
387,Department For Education,John Penrose To Cabinet Office,13
388,Department Of The Environment,Shell,13
389,Commons Culture Committee,Shell,13
390,Davis Commission,Facebook,13
391,Culture Committee,Facebook,13
392,Ben Gummer To Health,Commons Culture Committee,13
393,Facebook,Institute Of Economic Affairs,13
394,John Penrose To Cabinet Office,Territorial Army,13
395,Defence Committee,Department For,13
396,Commons Culture Committee,Institute Of Economic Affairs,13
397,Defence Committee,Department Of The Environment,13
398,Department For,Territorial Army,13
399,Defence Committee,Ministry Of Justice,13
